Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
107,Exit long,2026-08-10 15:41,RCL SL,29725.75,1,59523.5,-73.24,-0.12,1.24,20.38,0.03,-72.62,-0.12,3682.32,0.37,3
107,Entry long,2026-08-10 15:38,Reclaim Long C1,29761.75,1,59523.5,-73.24,-0.12,1.24,20.38,0.03,-72.62,-0.12,3682.32,0.37,3
108,Exit long,2026-08-10 15:45,M3 Break-even Exit,29771.5,1,59550,-8.24,-0.01,1.24,56.38,0.09,-16.62,-0.03,3674.08,0.37,2
108,Entry long,2026-08-10 15:43,M3 Long,29775,1,59550,-8.24,-0.01,1.24,56.38,0.09,-16.62,-0.03,3674.08,0.37,2
109,Exit short,2026-08-11 15:37,M4 Locked Profit,29715.75,1,59556.5,123.76,0.21,1.24,182.88,0.31,-17.62,-0.03,3797.84,0.38,7
109,Entry short,2026-08-11 15:30,M4 Short,29778.25,1,59556.5,123.76,0.21,1.24,182.88,0.31,-17.62,-0.03,3797.84,0.38,7
110,Exit short,2026-08-12 16:31,M3 TP,29847.5,1,59948,251.76,0.42,1.24,252.38,0.42,-2.62,0.00,4049.6,0.40,61
110,Entry short,2026-08-12 15:30,M3 Short,29974,1,59948,251.76,0.42,1.24,252.38,0.42,-2.62,0.00,4049.6,0.40,61
111,Exit long,2026-08-13 17:28,M4 Locked Profit,30189.25,1,60050.5,326.76,0.54,1.24,482.88,0.80,-60.12,-0.10,4376.36,0.44,112
111,Entry long,2026-08-13 15:36,M4 Long,30025.25,1,60050.5,326.76,0.54,1.24,482.88,0.80,-60.12,-0.10,4376.36,0.44,112
112,Exit long,2026-08-14 15:40,M3 Break-even Exit,30201.25,1,60403.5,-2.24,0.00,1.24,55.88,0.09,-11.12,-0.02,4374.12,0.44,2
112,Entry long,2026-08-14 15:38,M3 Long,30201.75,1,60403.5,-2.24,0.00,1.24,55.88,0.09,-11.12,-0.02,4374.12,0.44,2
113,Exit long,2026-08-14 15:43,M1 TP,30247,1,60413.5,79.26,0.13,1.24,79.88,0.13,-28.12,-0.05,4453.38,0.45,2
113,Entry long,2026-08-14 15:41,M1 Long,30206.75,1,60413.5,79.26,0.13,1.24,79.88,0.13,-28.12,-0.05,4453.38,0.45,2
114,Exit long,2026-08-17 15:50,M1 TP,30231.25,1,60360,101.26,0.17,1.24,101.88,0.17,-12.12,-0.02,4554.64,0.46,5
114,Entry long,2026-08-17 15:45,M1 Long,30180,1,60360,101.26,0.17,1.24,101.88,0.17,-12.12,-0.02,4554.64,0.46,5
115,Exit long,2026-08-18 15:55,M3 SL,29613,1,59335,-110.24,-0.19,1.24,19.88,0.03,-109.62,-0.18,4444.4,0.44,5
115,Entry long,2026-08-18 15:50,M3 Long,29667.5,1,59335,-110.24,-0.19,1.24,19.88,0.03,-109.62,-0.18,4444.4,0.44,5
116,Exit short,2026-08-18 15:56,M4 SL,29661.5,1,59227,-97.24,-0.16,1.24,10.38,0.02,-96.62,-0.16,4347.16,0.43,1
